Source,Target,Weight,Type
523,103213,1.4340,Undirected
806,807,1.0410,Undirected
51360,61251,1.8056,Undirected
814,4486,1.2674,Undirected
2074,2969,1.0017,Undirected
188,221,3.3191,Undirected
128,696,3.4712,Undirected
1200,2524,2.6704,Undirected
128,2065,1.6058,Undirected
5398,17733,1.3074,Undirected
767,7710,1.6801,Undirected
1094,638520,1.1155,Undirected
49837,50363,1.1297,Undirected
94,859,1.2080,Undirected
3703,4252,1.3342,Undirected
2575,7560,1.3125,Undirected
696,928,1.5988,Undirected
237,821,1.3348,Undirected
106,767,2.1965,Undirected
1609,2621,1.5660,Undirected
813,4486,5.2823,Undirected
724,2418,1.3091,Undirected
38,2606,1.0590,Undirected
922,3490,3.2818,Undirected
724,7125,1.0844,Undirected
221,859,4.5067,Undirected
184,803,16.5167,Undirected
2524,7709,3.8710,Undirected
94,885,1.1704,Undirected
801,5709,1.1823,Undirected
1252,1512,1.2284,Undirected
39,47,3.2552,Undirected
39,6416,2.5636,Undirected
25806,63097,2.9368,Undirected
106,2418,1.1169,Undirected
261,922,8.3512,Undirected
922,7709,1.6688,Undirected
523,18845,1.8673,Undirected
923,18845,1.0729,Undirected
261,724,1.7354,Undirected
1237,2065,6.8234,Undirected
27,38,2.1677,Undirected
128,498,1.3929,Undirected
148,7710,2.9921,Undirected
859796,13257,2.0899,Undirected
128,1302,1.2539,Undirected
8,928,2.0208,Undirected
47,748,3.2215,Undirected
671,7125,4.7098,Undirected
922,491,4.6989,Undirected
106,128,3.2981,Undirected
8,922,1.9488,Undirected
859,13257,1.3609,Undirected
